Timer [min];Ethanol (mmol/L);Glycerol (mmol/L);Acetate (mmol/L);Glucosa(mmol/L)
0;2.857558696;0.595324783;1.299624237;111.4953002
72;1.924256739;0.54402587;1.499918644;109.5830547
144;3.281025652;0.952542065;1.485284746;106.9243506
216;5.956371087;1.190649457;1.485284746;104.6101734
288;9.639718261;1.306940761;1.485284746;102.0586854
360;13.58953261;1.50170413;1.485284746;99.45306333
432;15.65278957;1.865203152;1.485284746;96.81300789
504;20.37947609;1.905094348;1.485284746;94.46052867
576;23.09621043;1.902164565;1.485296441;91.8283975
648;26.1655337;1.918329239;1.11396322;89.2979605
720;32.24866826;3.65084413;1.299984576;85.64809233
792;58.25515978;4.865239348;3.554180678;62.67271589
864;83.35070609;6.728149348;6.009826271;36.21603722
936;112.9424235;8.637963152;8.361072881;6.917754278
1008;128.1892976;9.525304783;11.32057712;1.304854278
1080;136.2629204;10.18887033;15.10015339;0.217323667
1152;144.5310133;10.11997565;16.34340136;0.763683333
1224;149.7137841;11.18945804;20.25098864;0.108665222
1296;142.6682339;11.43015674;18.97561898;-0.008817611
1368;137.3856076;10.83588609;18.56638763;0.046231556
1440;132.5882867;10.70060457;18.49011034;1.087637167
1512;126.0627811;9.407583043;14.68683712;0.009547611
1584;118.0609474;9.448759891;10.8202578;0.033297111
1656;112.5917493;9.047930978;6.911426102;0.025169167
1728;105.9824067;8.69058;3.904159492;0.004089722
1800;98.81233543;8.807975435;3.334063729;1.466189611
1872;91.52109522;7.296903261;0.55795339;1.515813667
1944;83.544;6.668863696;0.556981864;1.506710167
2016;75.74399565;5.833913587;0.556981864;1.495062444
2088;67.01302478;4.87169587;0.556899831;1.481225611
2160;59.25131609;4.28715413;0.742642373;1.465554722
2232;52.05814109;3.266733804;0.7412;1.448404889
2304;44.53378522;2.737037826;0.928303898;1.430131167
2376;37.11829065;1.546074783;1.286985254;1.411088667
2448;29.75686696;1.308617283;1.657396949;1.391632444
2520;22.61237457;1.905033043;2.04226661;1.372117556
2592;17.6099613;0.832298261;1.107907288;1.352899167
2664;12.61501065;0.595117609;0.928301356;1.334332278
2736;7.22772587;0.404632609;2.414097966;1.316772056
2808;2.365868261;0.833454457;1.844678305;1.359354389
2880;2.619475;0.833454674;2.042267119;1.424160333
2952;0.025631739;0.019529239;0.00245;0.994626833
3024;0;0;0;1.059762444
3096;0;0;0;1.137354111
3168;0;0;0;1.221252222
3240;0;0.118949674;0.185660847;1.305307167
3312;0;0.119065;0.185660678;1.383369389
